,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-08-09T00:00:00.000000000],1.028,0.046,0.971,1.082,0.019,0.003,6.0,17.0,1.45
r_t[2020-08-10T00:00:00.000000000],1.025,0.044,0.976,1.073,0.018,0.008,6.0,13.0,1.52
r_t[2020-08-11T00:00:00.000000000],1.025,0.044,0.976,1.073,0.018,0.008,6.0,13.0,1.52
r_t[2020-08-12T00:00:00.000000000],1.025,0.044,0.976,1.073,0.018,0.008,6.0,13.0,1.52
r_t[2020-08-13T00:00:00.000000000],1.03,0.038,1.005,1.082,0.014,0.008,7.0,13.0,1.35
r_t[2020-08-14T00:00:00.000000000],1.03,0.038,1.005,1.082,0.014,0.008,7.0,13.0,1.35
r_t[2020-08-15T00:00:00.000000000],1.03,0.038,1.005,1.082,0.014,0.008,7.0,13.0,1.35
r_t[2020-08-16T00:00:00.000000000],1.026,0.038,1.003,1.073,0.014,0.008,7.0,13.0,1.3
r_t[2020-08-17T00:00:00.000000000],1.026,0.038,1.003,1.073,0.014,0.008,7.0,13.0,1.3
r_t[2020-08-18T00:00:00.000000000],1.026,0.038,1.003,1.073,0.014,0.008,7.0,13.0,1.3
r_t[2020-08-19T00:00:00.000000000],1.027,0.035,0.99,1.079,0.012,0.004,10.0,17.0,1.21
r_t[2020-08-20T00:00:00.000000000],1.027,0.035,0.99,1.079,0.012,0.004,10.0,17.0,1.21
r_t[2020-08-21T00:00:00.000000000],1.027,0.035,0.99,1.079,0.012,0.004,10.0,17.0,1.21
r_t[2020-08-22T00:00:00.000000000],1.036,0.043,0.985,1.083,0.019,0.003,6.0,20.0,1.48
r_t[2020-08-23T00:00:00.000000000],1.036,0.043,0.985,1.083,0.019,0.003,6.0,20.0,1.48
r_t[2020-08-24T00:00:00.000000000],1.036,0.043,0.985,1.083,0.019,0.003,6.0,20.0,1.48
r_t[2020-08-25T00:00:00.000000000],1.042,0.043,0.984,1.096,0.019,0.006,5.0,17.0,1.85
r_t[2020-08-26T00:00:00.000000000],1.042,0.043,0.984,1.096,0.019,0.006,5.0,17.0,1.85
r_t[2020-08-27T00:00:00.000000000],1.042,0.043,0.984,1.096,0.019,0.006,5.0,17.0,1.85
r_t[2020-08-28T00:00:00.000000000],1.041,0.042,0.989,1.073,0.02,0.008,5.0,18.0,1.79
r_t[2020-08-29T00:00:00.000000000],1.041,0.042,0.989,1.073,0.02,0.008,5.0,18.0,1.79
r_t[2020-08-30T00:00:00.000000000],1.041,0.042,0.989,1.073,0.02,0.008,5.0,18.0,1.79
r_t[2020-08-31T00:00:00.000000000],1.038,0.039,0.982,1.068,0.016,0.006,7.0,13.0,1.31
r_t[2020-09-01T00:00:00.000000000],1.038,0.039,0.982,1.068,0.016,0.006,7.0,13.0,1.31
r_t[2020-09-02T00:00:00.000000000],1.038,0.039,0.982,1.068,0.016,0.006,7.0,13.0,1.31
r_t[2020-09-03T00:00:00.000000000],1.024,0.044,0.981,1.078,0.019,0.008,6.0,13.0,1.68
r_t[2020-09-04T00:00:00.000000000],1.024,0.044,0.981,1.078,0.019,0.008,6.0,13.0,1.68
r_t[2020-09-05T00:00:00.000000000],1.024,0.044,0.981,1.078,0.019,0.008,6.0,13.0,1.68
r_t[2020-09-06T00:00:00.000000000],1.022,0.038,0.971,1.07,0.018,0.006,5.0,16.0,1.72
r_t[2020-09-07T00:00:00.000000000],1.022,0.038,0.971,1.07,0.018,0.006,5.0,16.0,1.72
r_t[2020-09-08T00:00:00.000000000],1.022,0.038,0.971,1.07,0.018,0.006,5.0,16.0,1.72
r_t[2020-09-09T00:00:00.000000000],1.024,0.036,0.957,1.053,0.015,0.006,6.0,17.0,1.56
r_t[2020-09-10T00:00:00.000000000],1.024,0.036,0.957,1.053,0.015,0.006,6.0,17.0,1.56
r_t[2020-09-11T00:00:00.000000000],1.024,0.036,0.957,1.053,0.015,0.006,6.0,17.0,1.56
r_t[2020-09-12T00:00:00.000000000],1.019,0.025,0.993,1.054,0.011,0.002,6.0,14.0,1.5
r_t[2020-09-13T00:00:00.000000000],1.019,0.025,0.993,1.054,0.011,0.002,6.0,14.0,1.5
r_t[2020-09-14T00:00:00.000000000],1.019,0.025,0.993,1.054,0.011,0.002,6.0,14.0,1.5
r_t[2020-09-15T00:00:00.000000000],1.016,0.032,0.982,1.049,0.014,0.004,6.0,29.0,1.45
r_t[2020-09-16T00:00:00.000000000],1.016,0.032,0.982,1.049,0.014,0.004,6.0,29.0,1.45
r_t[2020-09-17T00:00:00.000000000],1.016,0.032,0.982,1.049,0.014,0.004,6.0,29.0,1.45
r_t[2020-09-18T00:00:00.000000000],1.021,0.032,0.992,1.054,0.013,0.008,8.0,13.0,1.52
r_t[2020-09-19T00:00:00.000000000],1.021,0.032,0.992,1.054,0.013,0.008,8.0,13.0,1.52
r_t[2020-09-20T00:00:00.000000000],1.021,0.032,0.992,1.054,0.013,0.008,8.0,13.0,1.52
r_t[2020-09-21T00:00:00.000000000],1.034,0.035,0.999,1.079,0.009,0.005,16.0,13.0,1.03
r_t[2020-09-22T00:00:00.000000000],1.034,0.035,0.999,1.079,0.009,0.005,16.0,13.0,1.03
r_t[2020-09-23T00:00:00.000000000],1.034,0.035,0.999,1.079,0.009,0.005,16.0,13.0,1.03
r_t[2020-09-24T00:00:00.000000000],1.032,0.028,0.998,1.063,0.007,0.006,17.0,17.0,1.19
r_t[2020-09-25T00:00:00.000000000],1.032,0.028,0.998,1.063,0.007,0.006,17.0,17.0,1.19
r_t[2020-09-26T00:00:00.000000000],1.032,0.028,0.998,1.063,0.007,0.006,17.0,17.0,1.19
r_t[2020-09-27T00:00:00.000000000],1.031,0.025,1.009,1.068,0.005,0.005,25.0,40.0,1.18
r_t[2020-09-28T00:00:00.000000000],1.031,0.025,1.009,1.068,0.005,0.005,25.0,40.0,1.18
r_t[2020-09-29T00:00:00.000000000],1.031,0.025,1.009,1.068,0.005,0.005,25.0,40.0,1.18
r_t[2020-09-30T00:00:00.000000000],1.027,0.034,0.967,1.044,0.009,0.011,16.0,13.0,1.47
r_t[2020-10-01T00:00:00.000000000],1.027,0.034,0.967,1.044,0.009,0.011,16.0,13.0,1.47
r_t[2020-10-02T00:00:00.000000000],1.027,0.034,0.967,1.044,0.009,0.011,16.0,13.0,1.47
r_t[2020-10-03T00:00:00.000000000],1.01,0.039,0.935,1.038,0.017,0.009,6.0,17.0,1.49
r_t[2020-10-04T00:00:00.000000000],1.01,0.039,0.935,1.038,0.017,0.009,6.0,17.0,1.49
r_t[2020-10-05T00:00:00.000000000],1.01,0.039,0.935,1.038,0.017,0.009,6.0,17.0,1.49
r_t[2020-10-06T00:00:00.000000000],1.013,0.029,0.977,1.042,0.012,0.006,7.0,13.0,1.31
r_t[2020-10-07T00:00:00.000000000],1.013,0.029,0.977,1.042,0.012,0.006,7.0,13.0,1.31
r_t[2020-10-08T00:00:00.000000000],1.013,0.029,0.977,1.042,0.012,0.006,7.0,13.0,1.31
r_t[2020-10-09T00:00:00.000000000],1.0,0.027,0.976,1.03,0.01,0.003,8.0,18.0,1.28
r_t[2020-10-10T00:00:00.000000000],1.0,0.027,0.976,1.03,0.01,0.003,8.0,18.0,1.28
r_t[2020-10-11T00:00:00.000000000],1.0,0.027,0.976,1.03,0.01,0.003,8.0,18.0,1.28
r_t[2020-10-12T00:00:00.000000000],0.998,0.021,0.968,1.022,0.007,0.003,9.0,13.0,1.22
r_t[2020-10-13T00:00:00.000000000],0.998,0.021,0.968,1.022,0.007,0.003,9.0,13.0,1.22
r_t[2020-10-14T00:00:00.000000000],0.998,0.021,0.968,1.022,0.007,0.003,9.0,13.0,1.22
r_t[2020-10-15T00:00:00.000000000],0.995,0.025,0.978,1.026,0.01,0.008,8.0,13.0,1.6
r_t[2020-10-16T00:00:00.000000000],0.995,0.025,0.978,1.026,0.01,0.008,8.0,13.0,1.6
r_t[2020-10-17T00:00:00.000000000],0.995,0.025,0.978,1.026,0.01,0.008,8.0,13.0,1.6
r_t[2020-10-18T00:00:00.000000000],1.007,0.018,0.976,1.019,0.007,0.002,9.0,33.0,1.24
r_t[2020-10-19T00:00:00.000000000],1.007,0.018,0.976,1.019,0.007,0.002,9.0,33.0,1.24
r_t[2020-10-20T00:00:00.000000000],1.007,0.018,0.976,1.019,0.007,0.002,9.0,33.0,1.24
