,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-06-22T00:00:00.000000000],0.85,0.138,0.69,1.01,0.028,0.015,25.0,80.0,1.08
r_t[2020-06-23T00:00:00.000000000],0.85,0.138,0.69,1.01,0.028,0.015,25.0,80.0,1.08
r_t[2020-06-24T00:00:00.000000000],0.85,0.138,0.69,1.01,0.028,0.015,25.0,80.0,1.08
r_t[2020-06-25T00:00:00.000000000],0.851,0.14,0.71,1.033,0.029,0.015,24.0,77.0,1.09
r_t[2020-06-26T00:00:00.000000000],0.851,0.14,0.71,1.033,0.029,0.015,24.0,77.0,1.09
r_t[2020-06-27T00:00:00.000000000],0.851,0.14,0.71,1.033,0.029,0.015,24.0,77.0,1.09
r_t[2020-06-28T00:00:00.000000000],0.844,0.136,0.665,0.983,0.03,0.014,23.0,77.0,1.09
r_t[2020-06-29T00:00:00.000000000],0.844,0.136,0.665,0.983,0.03,0.014,23.0,77.0,1.09
r_t[2020-06-30T00:00:00.000000000],0.844,0.136,0.665,0.983,0.03,0.014,23.0,77.0,1.09
r_t[2020-07-01T00:00:00.000000000],0.847,0.142,0.694,1.025,0.031,0.015,23.0,78.0,1.08
r_t[2020-07-02T00:00:00.000000000],0.847,0.142,0.694,1.025,0.031,0.015,23.0,78.0,1.08
r_t[2020-07-03T00:00:00.000000000],0.847,0.142,0.694,1.025,0.031,0.015,23.0,78.0,1.08
r_t[2020-07-04T00:00:00.000000000],0.848,0.146,0.634,0.959,0.031,0.017,25.0,78.0,1.07
r_t[2020-07-05T00:00:00.000000000],0.848,0.146,0.634,0.959,0.031,0.017,25.0,78.0,1.07
r_t[2020-07-06T00:00:00.000000000],0.848,0.146,0.634,0.959,0.031,0.017,25.0,78.0,1.07
r_t[2020-07-07T00:00:00.000000000],0.846,0.146,0.64,0.967,0.032,0.016,23.0,74.0,1.09
r_t[2020-07-08T00:00:00.000000000],0.846,0.146,0.64,0.967,0.032,0.016,23.0,74.0,1.09
r_t[2020-07-09T00:00:00.000000000],0.846,0.146,0.64,0.967,0.032,0.016,23.0,74.0,1.09
r_t[2020-07-10T00:00:00.000000000],0.846,0.149,0.659,0.983,0.038,0.016,18.0,74.0,1.11
r_t[2020-07-11T00:00:00.000000000],0.846,0.149,0.659,0.983,0.038,0.016,18.0,74.0,1.11
r_t[2020-07-12T00:00:00.000000000],0.846,0.149,0.659,0.983,0.038,0.016,18.0,74.0,1.11
r_t[2020-07-13T00:00:00.000000000],0.848,0.152,0.633,0.965,0.04,0.017,16.0,74.0,1.12
r_t[2020-07-14T00:00:00.000000000],0.848,0.152,0.633,0.965,0.04,0.017,16.0,74.0,1.12
r_t[2020-07-15T00:00:00.000000000],0.848,0.152,0.633,0.965,0.04,0.017,16.0,74.0,1.12
r_t[2020-07-16T00:00:00.000000000],0.845,0.149,0.678,1.02,0.037,0.018,17.0,61.0,1.12
r_t[2020-07-17T00:00:00.000000000],0.845,0.149,0.678,1.02,0.037,0.018,17.0,61.0,1.12
r_t[2020-07-18T00:00:00.000000000],0.845,0.149,0.678,1.02,0.037,0.018,17.0,61.0,1.12
r_t[2020-07-19T00:00:00.000000000],0.846,0.151,0.657,0.993,0.039,0.017,18.0,48.0,1.11
r_t[2020-07-20T00:00:00.000000000],0.846,0.151,0.657,0.993,0.039,0.017,18.0,48.0,1.11
r_t[2020-07-21T00:00:00.000000000],0.846,0.151,0.657,0.993,0.039,0.017,18.0,48.0,1.11
r_t[2020-07-22T00:00:00.000000000],0.844,0.149,0.666,0.999,0.037,0.021,15.0,42.0,1.12
r_t[2020-07-23T00:00:00.000000000],0.844,0.149,0.666,0.999,0.037,0.021,15.0,42.0,1.12
r_t[2020-07-24T00:00:00.000000000],0.844,0.149,0.666,0.999,0.037,0.021,15.0,42.0,1.12
r_t[2020-07-25T00:00:00.000000000],0.841,0.143,0.671,0.993,0.038,0.016,16.0,46.0,1.12
r_t[2020-07-26T00:00:00.000000000],0.841,0.143,0.671,0.993,0.038,0.016,16.0,46.0,1.12
r_t[2020-07-27T00:00:00.000000000],0.841,0.143,0.671,0.993,0.038,0.016,16.0,46.0,1.12
r_t[2020-07-28T00:00:00.000000000],0.839,0.146,0.666,1.002,0.041,0.02,13.0,41.0,1.14
r_t[2020-07-29T00:00:00.000000000],0.839,0.146,0.666,1.002,0.041,0.02,13.0,41.0,1.14
r_t[2020-07-30T00:00:00.000000000],0.839,0.146,0.666,1.002,0.041,0.02,13.0,41.0,1.14
r_t[2020-07-31T00:00:00.000000000],0.836,0.151,0.667,1.011,0.045,0.017,11.0,41.0,1.15
r_t[2020-08-01T00:00:00.000000000],0.836,0.151,0.667,1.011,0.045,0.017,11.0,41.0,1.15
r_t[2020-08-02T00:00:00.000000000],0.836,0.151,0.667,1.011,0.045,0.017,11.0,41.0,1.15
r_t[2020-08-03T00:00:00.000000000],0.839,0.15,0.661,1.006,0.048,0.016,10.0,41.0,1.17
r_t[2020-08-04T00:00:00.000000000],0.839,0.15,0.661,1.006,0.048,0.016,10.0,41.0,1.17
r_t[2020-08-05T00:00:00.000000000],0.839,0.15,0.661,1.006,0.048,0.016,10.0,41.0,1.17
r_t[2020-08-06T00:00:00.000000000],0.841,0.161,0.643,0.995,0.053,0.019,10.0,42.0,1.17
r_t[2020-08-07T00:00:00.000000000],0.841,0.161,0.643,0.995,0.053,0.019,10.0,42.0,1.17
r_t[2020-08-08T00:00:00.000000000],0.841,0.161,0.643,0.995,0.053,0.019,10.0,42.0,1.17
r_t[2020-08-09T00:00:00.000000000],0.842,0.164,0.639,0.979,0.057,0.023,8.0,19.0,1.21
r_t[2020-08-10T00:00:00.000000000],0.842,0.164,0.639,0.979,0.057,0.023,8.0,19.0,1.21
r_t[2020-08-11T00:00:00.000000000],0.842,0.164,0.639,0.979,0.057,0.023,8.0,19.0,1.21
r_t[2020-08-12T00:00:00.000000000],0.84,0.161,0.653,0.997,0.058,0.02,8.0,18.0,1.22
r_t[2020-08-13T00:00:00.000000000],0.84,0.161,0.653,0.997,0.058,0.02,8.0,18.0,1.22
r_t[2020-08-14T00:00:00.000000000],0.84,0.161,0.653,0.997,0.058,0.02,8.0,18.0,1.22
r_t[2020-08-15T00:00:00.000000000],0.839,0.157,0.655,0.973,0.058,0.018,9.0,18.0,1.2
r_t[2020-08-16T00:00:00.000000000],0.839,0.157,0.655,0.973,0.058,0.018,9.0,18.0,1.2
r_t[2020-08-17T00:00:00.000000000],0.839,0.157,0.655,0.973,0.058,0.018,9.0,18.0,1.2
r_t[2020-08-18T00:00:00.000000000],0.839,0.157,0.628,0.97,0.06,0.02,7.0,51.0,1.25
r_t[2020-08-19T00:00:00.000000000],0.839,0.157,0.628,0.97,0.06,0.02,7.0,51.0,1.25
r_t[2020-08-20T00:00:00.000000000],0.839,0.157,0.628,0.97,0.06,0.02,7.0,51.0,1.25
r_t[2020-08-21T00:00:00.000000000],0.842,0.157,0.606,0.944,0.058,0.02,7.0,73.0,1.25
r_t[2020-08-22T00:00:00.000000000],0.842,0.157,0.606,0.944,0.058,0.02,7.0,73.0,1.25
r_t[2020-08-23T00:00:00.000000000],0.842,0.157,0.606,0.944,0.058,0.02,7.0,73.0,1.25
r_t[2020-08-24T00:00:00.000000000],0.837,0.158,0.648,1.007,0.062,0.021,6.0,102.0,1.3
r_t[2020-08-25T00:00:00.000000000],0.837,0.158,0.648,1.007,0.062,0.021,6.0,102.0,1.3
r_t[2020-08-26T00:00:00.000000000],0.837,0.158,0.648,1.007,0.062,0.021,6.0,102.0,1.3
r_t[2020-08-27T00:00:00.000000000],0.834,0.158,0.595,0.942,0.061,0.018,6.0,81.0,1.3
r_t[2020-08-28T00:00:00.000000000],0.834,0.158,0.595,0.942,0.061,0.018,6.0,81.0,1.3
r_t[2020-08-29T00:00:00.000000000],0.834,0.158,0.595,0.942,0.061,0.018,6.0,81.0,1.3
r_t[2020-08-30T00:00:00.000000000],0.834,0.157,0.637,0.969,0.064,0.019,6.0,74.0,1.32
r_t[2020-08-31T00:00:00.000000000],0.834,0.157,0.637,0.969,0.064,0.019,6.0,74.0,1.32
r_t[2020-09-01T00:00:00.000000000],0.834,0.157,0.637,0.969,0.064,0.019,6.0,74.0,1.32
r_t[2020-09-02T00:00:00.000000000],0.838,0.157,0.654,0.981,0.066,0.018,5.0,63.0,1.34
r_t[2020-09-03T00:00:00.000000000],0.838,0.157,0.654,0.981,0.066,0.018,5.0,63.0,1.34
r_t[2020-09-04T00:00:00.000000000],0.838,0.157,0.654,0.981,0.066,0.018,5.0,63.0,1.34
r_t[2020-09-05T00:00:00.000000000],0.832,0.165,0.624,0.991,0.07,0.018,5.0,55.0,1.34
r_t[2020-09-06T00:00:00.000000000],0.832,0.165,0.624,0.991,0.07,0.018,5.0,55.0,1.34
r_t[2020-09-07T00:00:00.000000000],0.832,0.165,0.624,0.991,0.07,0.018,5.0,55.0,1.34
r_t[2020-09-08T00:00:00.000000000],0.829,0.163,0.628,0.989,0.068,0.019,6.0,51.0,1.3
r_t[2020-09-09T00:00:00.000000000],0.829,0.163,0.628,0.989,0.068,0.019,6.0,51.0,1.3
r_t[2020-09-10T00:00:00.000000000],0.829,0.163,0.628,0.989,0.068,0.019,6.0,51.0,1.3
r_t[2020-09-11T00:00:00.000000000],0.83,0.17,0.579,0.949,0.071,0.018,6.0,85.0,1.29
