,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-09-07T00:00:00.000000000],1.073,0.012,1.065,1.085,0.005,0.003,6.0,22.0,1.88
r_t[2020-09-08T00:00:00.000000000],1.073,0.012,1.065,1.085,0.005,0.003,6.0,22.0,1.88
r_t[2020-09-09T00:00:00.000000000],1.073,0.012,1.065,1.085,0.005,0.003,6.0,22.0,1.88
r_t[2020-09-10T00:00:00.000000000],1.073,0.02,1.063,1.102,0.007,0.003,7.0,22.0,1.56
r_t[2020-09-11T00:00:00.000000000],1.073,0.02,1.063,1.102,0.007,0.003,7.0,22.0,1.56
r_t[2020-09-12T00:00:00.000000000],1.073,0.02,1.063,1.102,0.007,0.003,7.0,22.0,1.56
r_t[2020-09-13T00:00:00.000000000],1.066,0.012,1.058,1.077,0.004,0.003,7.0,22.0,1.63
r_t[2020-09-14T00:00:00.000000000],1.066,0.012,1.058,1.077,0.004,0.003,7.0,22.0,1.63
r_t[2020-09-15T00:00:00.000000000],1.066,0.012,1.058,1.077,0.004,0.003,7.0,22.0,1.63
r_t[2020-09-16T00:00:00.000000000],1.054,0.012,1.043,1.073,0.005,0.002,8.0,22.0,1.47
r_t[2020-09-17T00:00:00.000000000],1.054,0.012,1.043,1.073,0.005,0.002,8.0,22.0,1.47
r_t[2020-09-18T00:00:00.000000000],1.054,0.012,1.043,1.073,0.005,0.002,8.0,22.0,1.47
r_t[2020-09-19T00:00:00.000000000],1.053,0.014,1.045,1.078,0.006,0.003,7.0,22.0,2.48
r_t[2020-09-20T00:00:00.000000000],1.053,0.014,1.045,1.078,0.006,0.003,7.0,22.0,2.48
r_t[2020-09-21T00:00:00.000000000],1.053,0.014,1.045,1.078,0.006,0.003,7.0,22.0,2.48
r_t[2020-09-22T00:00:00.000000000],1.051,0.015,1.036,1.068,0.006,0.002,6.0,22.0,2.19
r_t[2020-09-23T00:00:00.000000000],1.051,0.015,1.036,1.068,0.006,0.002,6.0,22.0,2.19
r_t[2020-09-24T00:00:00.000000000],1.051,0.015,1.036,1.068,0.006,0.002,6.0,22.0,2.19
r_t[2020-09-25T00:00:00.000000000],1.039,0.016,1.024,1.053,0.006,0.004,8.0,22.0,1.3
r_t[2020-09-26T00:00:00.000000000],1.039,0.016,1.024,1.053,0.006,0.004,8.0,22.0,1.3
r_t[2020-09-27T00:00:00.000000000],1.039,0.016,1.024,1.053,0.006,0.004,8.0,22.0,1.3
r_t[2020-09-28T00:00:00.000000000],1.028,0.016,1.012,1.033,0.005,0.005,7.0,22.0,1.9
r_t[2020-09-29T00:00:00.000000000],1.028,0.016,1.012,1.033,0.005,0.005,7.0,22.0,1.9
r_t[2020-09-30T00:00:00.000000000],1.028,0.016,1.012,1.033,0.005,0.005,7.0,22.0,1.9
