,mean,sd,hdi_10%,hdi_90%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_t[2020-09-09T00:00:00.000000000],1.077,0.017,1.067,1.098,0.005,0.004,11.0,22.0,1.45
r_t[2020-09-10T00:00:00.000000000],1.075,0.016,1.052,1.09,0.007,0.004,6.0,22.0,2.01
r_t[2020-09-11T00:00:00.000000000],1.075,0.016,1.052,1.09,0.007,0.004,6.0,22.0,2.01
r_t[2020-09-12T00:00:00.000000000],1.075,0.016,1.052,1.09,0.007,0.004,6.0,22.0,2.01
r_t[2020-09-13T00:00:00.000000000],1.077,0.015,1.059,1.095,0.006,0.002,6.0,22.0,1.8
r_t[2020-09-14T00:00:00.000000000],1.077,0.015,1.059,1.095,0.006,0.002,6.0,22.0,1.8
r_t[2020-09-15T00:00:00.000000000],1.077,0.015,1.059,1.095,0.006,0.002,6.0,22.0,1.8
r_t[2020-09-16T00:00:00.000000000],1.067,0.015,1.054,1.09,0.007,0.003,6.0,22.0,2.03
r_t[2020-09-17T00:00:00.000000000],1.067,0.015,1.054,1.09,0.007,0.003,6.0,22.0,2.03
r_t[2020-09-18T00:00:00.000000000],1.067,0.015,1.054,1.09,0.007,0.003,6.0,22.0,2.03
r_t[2020-09-19T00:00:00.000000000],1.062,0.021,1.046,1.063,0.005,0.008,9.0,22.0,1.33
r_t[2020-09-20T00:00:00.000000000],1.062,0.021,1.046,1.063,0.005,0.008,9.0,22.0,1.33
r_t[2020-09-21T00:00:00.000000000],1.062,0.021,1.046,1.063,0.005,0.008,9.0,22.0,1.33
r_t[2020-09-22T00:00:00.000000000],1.052,0.035,1.039,1.051,0.007,0.015,15.0,22.0,1.58
r_t[2020-09-23T00:00:00.000000000],1.052,0.035,1.039,1.051,0.007,0.015,15.0,22.0,1.58
r_t[2020-09-24T00:00:00.000000000],1.052,0.035,1.039,1.051,0.007,0.015,15.0,22.0,1.58
r_t[2020-09-25T00:00:00.000000000],1.055,0.028,1.035,1.063,0.007,0.01,7.0,22.0,1.66
r_t[2020-09-26T00:00:00.000000000],1.055,0.028,1.035,1.063,0.007,0.01,7.0,22.0,1.66
r_t[2020-09-27T00:00:00.000000000],1.055,0.028,1.035,1.063,0.007,0.01,7.0,22.0,1.66
r_t[2020-09-28T00:00:00.000000000],1.057,0.022,1.037,1.086,0.009,0.006,6.0,22.0,2.4
r_t[2020-09-29T00:00:00.000000000],1.057,0.022,1.037,1.086,0.009,0.006,6.0,22.0,2.4
r_t[2020-09-30T00:00:00.000000000],1.057,0.022,1.037,1.086,0.009,0.006,6.0,22.0,2.4
